preliminary_decision,review__confidence,review_evaluation,review__id,review__orientation,review__text,sentiment,sentiment_class
accept,4.0,1.0,1.0,0.0,"The article addresses a contingent and very relevant problem, and includes both a national diagnosis of the use of good practices and a solution (concrete good practices). - The language is appropriate. - The article feels like the concatenation of three different articles: (1) survey results, (2) good security practices, (3) incorporation of good practices. - The order of the sections would be better if it reflected this order (the revised version is #2, #1, #3). - The article has no validation of any kind, not even by expert evaluation.","{'neg': 0.051, 'neu': 0.704, 'pos': 0.245, 'compound': 0.9579}",Positive
,4.0,1.0,2.0,1.0,"The article presents practical recommendations for developing secure software. Recommended best practices for developing software that is proactive against attacks are described, and a cost analysis of these practices in software development is performed. All based on a review of practices proposed in the bibliography and their contrast with data obtained from a company survey. Finally, a guide is recommended. It would be ideal to apply the proposed guide to companies not involved in the survey that originated it in order to be able to evaluate its effectiveness independently.","{'neg': 0.03, 'neu': 0.802, 'pos': 0.169, 'compound': 0.91}",Positive
,5.0,1.0,3.0,1.0,"The topic is very interesting and a guide to incorporate security practices can be very helpful. - The presentation (description, stage and use) of the 9 practices for the development of secure software. - The “real state of software development in Chile” (as indicated in his paper) cannot be achieved with only 22 surveys out of a total of 50. - It presents nine tables that correspond to the practices for the development of secure software, but the guide presents 10 practices. explain why? - I suggest improving the guide, the greatest contribution is in the incorporation sequence it proposes. Furthermore, she should not explain the practice in Observations or differentiate it from other practices in that column, but rather should give suggestions on how to apply it. - In the text it indicates “Later, three extra practices are also presented…” What are they or did I not read correctly? - According to the format, put at least 5 keywords. - I suggest mentioning the practices before showing each table. - Some references are incomplete, for example, missing year in reference 17, missing year and type of event in reference 11, missing publisher in reference 19 (is it a book?) - Some titles have a comma inside the quotes, for example, reference 1","{'neg': 0.04, 'neu': 0.87, 'pos': 0.091, 'compound': 0.8684}",Positive
accept,4.0,2.0,1.0,1.0,"An experience of using ICT for academic collaboration is explained in an orderly and didactic manner. The originality of the work is not its strong dimension, see long-standing works such as Gorton et al. (1997) and current ones such as Lanunile et al. (2010). However, the relevance of the topic as a reference standard in activities related to scientific theses, associated with its good presentation, make it a contribution. It is suggested, with a view to a magazine publication, that the efficiency and effectiveness of the activities without the support of these tools be compared versus the current reality (with tools). Examples of possible questions to answer from this exploratory analysis: What are the main activities where the use of collaborative tools is key? What changes in the design of these tools should be developed in the future? Are there student/academic profiles more conducive to the adoption of these platforms? References: Gorton, I., Hawryszkiewycz, I., and Ragoonaden, K. 1997. Collaborative tools and processes to support software engineering shift work. BT Technology Journal 15, 3 (Jul. 1997), 189-198. Filippo Lanubile, Christof Ebert, Rafael Prikladnicki, Aurora Vizcaíno, ""Collaboration Tools for Global Software Engineering,"" IEEE Software, vol. 27, no. 2, pp. 52-55, Mar./Apr. 2010.","{'neg': 0.048, 'neu': 0.925, 'pos': 0.026, 'compound': -0.5511}",Negative
,4.0,2.0,2.0,0.0,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
,4.0,2.0,3.0,0.0,"The authors describe a methodology to collaboratively develop theses and reports using technologies that are commonly used in software development. Likewise, they describe specific tools and their benefits, such as, for example, Latex and Git. Finally, they propose a workflow for the development of projects of this nature. The main value of the article lies in the application of knowledge that students already master - that is, software development techniques and tools - to a different problem such as the theses and reports. All of this, with the aim of making the process more efficient. 1.- The emphasis of the article is on the solution without making a detailed analysis of the problem that is intended to be solved. In other words, there are no answers to the following questions: a.- What exactly is the problem? b.- What impacts does this problem generate? c.- Why is it important to solve the problem? d.- What solutions have been implemented to date? e.- What advantages does the proposed solution have compared to the previous ones? 2.- In my opinion, the article should emphasize the methodology and workflow more. For example, adding a diagram -using visual language- that allows, on the one hand, to understand the general process of thesis development and, on the other, to distinguish the roles, activities and technologies associated in each phase of the report. 3.- Some aspects of the language and the rigor of certain statements must be taken care of, such as, for example: ""(given the rather atrocious spelling that engineers enjoy)"". Do the authors have any empirical support to support this claim? Is it necessary to resort to such prosaic language to justify the convenience of using a certain technological tool? By the way, I recommend reviewing the expressions: ""it is not public"" (point 3.1) and ""Having direct access..."" (point 3.2)","{'neg': 0.056, 'neu': 0.818, 'pos': 0.126, 'compound': 0.9615}",Positive
accept,4.0,2.0,1.0,1.0,"This work proposes a new approach based on [25] to support the recommendation of RSs by evolving the weights of user features through two approaches of using genetic algorithms. The work seems technically correct and the proposal presents robust results according to what is presented in the document. The document has a series of apparently typographical errors that lead to confusion, where the names of variables, abbreviations or presentation format of subscript variables, etc. are changed. For example: equation 2, function w, abbreviation CF, figure 3, figure 6. The approach apparently uses only a part of the DB for efficiency reasons, it would be good to use some indexing technique to support this process.","{'neg': 0.038, 'neu': 0.854, 'pos': 0.108, 'compound': 0.8225}",Positive
,3.0,2.0,2.0,1.0,"This paper aims to show new implementation alternative for recommender systems. To this end, the authors use two variations CHC genetic algorithm. -It's a good job. -It is clear and very detailed. - There are inconsistencies in the notation should be improved. The formula (7) has a notation different from the rest of the equations. - On the same point, the figure (3) refers to ""profile"", ""pesos"", ""euclidean"" and ""vecindad""; these words aren't related with the text. - I think that the results shown in graphs would be more useful if they are shown in tables.","{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.8955}",Positive
,3.0,0.0,3.0,-1.0,"The paper is well structured. It follows a logical sequence of sections. The paper does not fix to the Infonor conference template. The english grammar is poor. It makes the paper difficult to read and follow. Either: a) rewrite the paper in Spanish, or b) make the paper reviewed by a professional translator Most of the references are not recent (2005-2010). No new work since 2003? Some references do not indicate year. Problems with equations, fonts, etc. Figures 5-17 are not referenced/discussed/explained. It may be better to present these figures as a table. Both, result analysis and conclusions, declare that GA CHC is better than Pearson's correlation Algorithm. However, this analysis and conclusion is not supported for a wide variety of situations and conditions. Therefore, a true validation work is missing.","{'neg': 0.069, 'neu': 0.825, 'pos': 0.106, 'compound': 0.6229}",Positive
accept,4.0,2.0,1.0,2.0,Novel quantum encryption modeling work is being carried out. I don't see any negative aspects.,"{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.6483}",Positive
